                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0482,                  1.189,                  1.409,                0.53242,                 0.8125,                0.73892,                 0.5394,                 1.0281,                 1.1219,                 1.3941,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0135,                 1.1684,                 1.3814,                0.92693,                0.79308,                0.93414,                 0.7042,                0.94088,                0.88912,                 1.3695,               0.001307,               0.001307,               0.001307
                     37,                 1.0132,                 1.1444,                 1.3704,                0.98357,                 0.8125,                0.91061,                0.63236,                 1.1326,                0.88198,                 1.5687,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0126,                 1.1267,                 1.4088,                0.78377,                 0.8125,                 0.8436,                0.61921,                 1.0633,                0.90155,                  1.474,              0.0012674,              0.0012674,              0.0012674
                     39,                0.95919,                 1.0759,                 1.3582,                0.73894,                 0.8125,                0.82033,                0.61433,                 1.0026,                0.80844,                 1.4319,              0.0012476,              0.0012476,              0.0012476
                     40,                0.95766,                 1.0571,                 1.3288,                 0.8726,                0.78125,                0.90018,                0.66523,                0.90218,                0.86069,                 1.3546,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.9116,                0.97311,                 1.2833,                0.86614,                0.80892,                0.90339,                0.71253,                0.85177,                0.82559,                 1.3401,               0.001208,               0.001208,               0.001208
                     42,                0.91288,                 1.0018,                 1.2861,                0.91242,                0.78125,                0.91293,                0.66179,                0.94848,                0.78426,                  1.384,              0.0011882,              0.0011882,              0.0011882
                     43,                0.90712,                 0.9923,                 1.2788,                0.79917,                 0.8125,                 0.8744,                0.60359,                0.92893,                0.89177,                 1.3926,              0.0011684,              0.0011684,              0.0011684
                     44,                0.91139,                0.97703,                 1.2811,                0.92187,                0.84375,                0.90712,                0.66021,                0.98346,                0.82861,                 1.4187,              0.0011486,              0.0011486,              0.0011486
                     45,                0.90359,                0.97779,                 1.2974,                0.93873,                0.95775,                0.95758,                0.69051,                0.95101,                0.67876,                 1.4031,              0.0011288,              0.0011288,              0.0011288
                     46,                0.90673,                0.97273,                 1.2994,                0.87165,                0.84903,                0.89847,                0.62529,                 1.0014,                0.84019,                  1.429,               0.001109,               0.001109,               0.001109
                     47,                0.86017,                0.90624,                 1.2373,                0.95785,                0.71038,                0.86321,                0.66768,                0.89605,                0.80835,                 1.3332,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.8806,                0.91905,                 1.2837,                0.91295,                  0.875,                 0.9187,                0.71613,                0.82915,                 0.7425,                 1.2416,              0.0010694,              0.0010694,              0.0010694
